,Country,2019_total,2019_males,2019_females,2020_total,2020_males,2020_females,2021_total,2021_males,2021_females,2022_total,2022_males,2022_females
0,European Union - 27 countries (from 2020),7033.4,4406.3,2627.1,6703.45,4161.65,2541.8,6490.1,3968.4,2521.7,6725.6,4093.1,2632.5
1,European Union - 28 countries (2013-2020),10042.0,6262.6,3779.4,,,,,,,,,
2,European Union - 15 countries (1995-2004),8398.3,5327.5,3070.8,,,,,,,,,
3,Euro area - 19 countries  (from 2015),5424.3,3489.4,1934.9,5093.625,3273.825,1819.8,4774.2,3008.2,1766.0,4902.2,3049.5,1852.8
4,Belgium,300.1,190.3,109.8,283.27500000000003,171.97500000000002,111.30000000000001,288.7,174.2,114.5,277.6,165.2,112.4
5,Bulgaria,95.9,45.7,50.2,97.47500000000001,46.525000000000006,50.95,94.5,46.9,47.6,93.2,46.8,46.4
6,Czechia,163.9,114.1,49.7,158.29999999999998,105.725,52.574999999999996,188.4,125.5,62.9,216.0,148.9,67.1
7,Denmark,70.8,49.8,21.0,63.575,44.025,19.55,70.5,49.6,20.9,68.4,45.2,23.2
8,Germany (until 1990 former territory of the FRG),1588.2,1081.8,506.4,,,,1189.9,825.2,364.7,1234.6,863.6,370.9
9,Estonia,40.5,20.6,20.0,41.425000000000004,21.325000000000003,20.1,40.9,21.7,19.2,38.7,18.8,19.9
10,Ireland,129.3,77.7,51.7,129.25,76.825,52.425000000000004,138.8,82.7,56.1,163.2,91.6,71.6
11,Greece,38.2,26.5,11.7,41.05,28.924999999999997,12.125,39.0,26.2,12.8,51.6,32.9,18.7
12,Spain,390.1,239.7,150.4,399.65,240.0,159.65,452.2,271.9,180.3,467.5,284.1,183.4
13,France,1656.7,1036.9,619.8,1734.85,1076.0,658.8499999999999,1292.5,747.5,545.0,1329.0,730.5,598.5
14,Croatia,33.7,25.6,8.2,30.475,19.8,10.674999999999999,29.2,15.6,13.6,21.7,14.6,7.1
15,Italy,201.2,140.6,60.6,216.95000000000002,157.22500000000002,59.725,215.79999999999998,153.7,62.1,247.6,182.6,65.0
16,Cyprus,14.5,11.4,3.0,14.95,11.025,3.925,15.0,11.4,3.6,15.6,12.0,3.7
17,Latvia,59.3,28.9,30.4,51.574999999999996,24.424999999999997,27.15,57.1,26.0,31.1,52.5,20.7,31.7
18,Lithuania,100.5,59.4,41.1,97.5,59.0,38.5,98.0,61.9,36.1,97.6,57.1,40.6
19,Luxembourg,5.9,3.7,2.2,7.125,4.775,2.35,,6.1,,10.6,8.3,2.3
20,Hungary,118.9,69.0,49.9,127.14999999999999,72.35,54.8,142.3,82.6,59.7,148.9,87.2,61.6
21,Malta,21.9,14.1,7.8,23.8,15.975000000000001,7.825,24.599999999999998,16.4,8.2,27.4,17.8,9.6
22,Netherlands,338.4,231.2,107.2,319.79999999999995,224.95,94.85,364.6,251.7,112.9,349.2,241.8,107.4
23,Austria,183.3,119.8,63.4,186.15,122.525,63.62500000000001,181.5,113.9,67.6,179.9,117.6,62.3
24,Poland,729.2,386.4,342.8,742.375,380.075,362.29999999999995,762.4,400.4,362.0,794.1,414.2,379.9
25,Portugal,157.9,92.7,65.2,156.60000000000002,95.17500000000001,61.425,179.10000000000002,106.9,72.2,171.7,99.0,72.8
26,Romania,125.9,80.0,46.0,123.29999999999998,73.44999999999999,49.849999999999994,137.6,86.0,51.6,186.6,122.1,64.4
27,Slovenia,47.5,24.9,22.6,54.125,29.75,24.375,35.6,21.2,14.4,32.1,19.7,12.4
28,Slovakia,91.9,54.9,37.0,95.44999999999999,55.175,40.275,103.5,59.2,44.3,105.9,55.3,50.6
29,Finland,58.8,34.2,24.6,57.574999999999996,34.175,23.4,49.5,30.3,19.2,49.8,30.8,19.0
30,Sweden,270.7,146.3,124.4,267.25,145.89999999999998,121.35,290.9,153.6,137.3,294.6,164.5,130.1
31,Iceland,20.1,11.0,9.0,18.55,10.55,8.0,17.6,9.9,7.7,18.7,9.6,9.1
32,Norway,200.5,127.9,72.7,201.92499999999998,130.2,71.725,209.7,137.6,72.1,204.7,134.3,70.4
33,Switzerland,276.4,177.6,98.8,272.4,176.65,95.75,280.3,186.8,93.5,281.5,193.3,88.2
34,United Kingdom,3008.6,1856.3,1152.3,3059.5333333333333,1882.3,1177.2333333333333,,,,,,
35,Montenegro,3.5,2.0,1.5,3.8499999999999996,2.15,1.7,,,,,,
36,North Macedonia,8.9,5.9,2.9,8.391666666666667,6.025,2.3666666666666667,,,,,,
37,Serbia,42.2,26.8,15.5,39.425000000000004,24.35,15.075000000000001,35.7,20.2,15.5,49.1,29.2,19.9
38,Turkey,822.9,622.1,200.8,810.6999999999999,614.175,196.52499999999998,,,,,,
39,d,,,,,,,,,,,,
40,u,,,,,,,,,,,,
