,Country,2019_total,2019_males,2019_females,2020_total,2020_males,2020_females,2021_total,2021_males,2021_females,2022_total,2022_males,2022_females
0,European Union - 27 countries (from 2020),18093.8,6103.9,11989.9,18243.5,6119.75,12123.75,18701.6,6308.8,12392.8,19080.0,6393.6,12686.4
1,European Union - 28 countries (2013-2020),20787.4,6969.1,13818.3,,,,,,,,,
2,European Union - 15 countries (1995-2004),17782.6,5958.3,11824.4,,,,,,,,,
3,Euro area - 19 countries  (from 2015),15155.3,5095.6,10059.7,15335.75,5099.825,10235.925,15700.599999999999,5252.3,10448.3,16028.2,5351.9,10676.3
4,Belgium,505.8,203.4,302.4,526.75,209.52499999999998,317.225,556.0,220.2,335.8,592.1,221.8,370.3
5,Bulgaria,183.7,50.6,133.2,175.0,48.25,126.75,175.0,44.1,130.9,172.4,45.3,127.1
6,Czechia,441.3,92.0,349.3,431.475,95.15,336.325,440.7,99.5,341.2,420.0,93.6,326.4
7,Denmark,180.5,56.3,124.2,181.025,52.775,128.25,173.7,49.9,123.8,163.4,55.3,108.1
8,Germany (until 1990 former territory of the FRG),5048.8,1720.8,3328.0,,,,5409.4,1810.8,3598.6,5203.6,1752.6,3450.9
9,Estonia,37.4,13.2,24.1,33.55,11.425,22.125,30.700000000000003,9.6,21.1,41.4,15.2,26.2
10,Ireland,201.4,51.1,150.2,204.05,52.125,151.925,194.89999999999998,51.3,143.6,214.1,57.6,156.5
11,Greece,421.1,171.5,249.6,422.825,179.375,243.45,397.0,170.4,226.6,457.4,184.7,272.7
12,Spain,2000.7,667.0,1333.7,1938.8000000000002,635.4749999999999,1303.3250000000003,1959.1,635.3,1323.8,2035.6,666.2,1369.4
13,France,2151.1,569.5,1581.6,2133.3,531.375,1601.925,2289.3,636.5,1652.8,2435.1,689.6,1745.4
14,Croatia,149.2,52.5,96.6,153.75,54.3,99.44999999999999,154.7,56.2,98.5,157.1,53.0,104.1
15,Italy,2592.3,913.8,1678.6,2625.225,942.7750000000001,1682.4499999999998,2600.1,967.5,1632.6,2726.3,995.4,1730.9
16,Cyprus,42.5,10.9,31.7,44.625,11.325,33.3,43.5,9.9,33.6,48.1,12.1,36.0
17,Latvia,50.2,11.7,38.5,40.425,10.8,29.625,35.7,9.3,26.4,38.4,10.5,27.9
18,Lithuania,61.4,18.7,42.7,61.075,20.375,40.7,60.7,15.3,45.4,65.2,16.8,48.4
19,Luxembourg,20.8,9.3,11.4,19.275,8.5,10.775,19.5,8.8,10.7,18.3,8.3,10.1
20,Hungary,309.1,83.0,226.1,300.55,82.55000000000001,218.0,337.6,94.3,243.3,349.3,102.8,246.5
21,Malta,27.4,11.4,16.0,27.400000000000002,11.325,16.075000000000003,27.0,11.5,15.5,27.4,11.1,16.3
22,Netherlands,721.2,297.6,423.6,727.275,303.1,424.17499999999995,804.9,309.5,495.4,805.0,331.4,473.7
23,Austria,413.6,125.3,288.3,395.65,111.65,284.0,398.7,108.7,290.0,408.5,120.3,288.2
24,Poland,1019.0,433.8,585.2,1012.1750000000001,427.6,584.575,1104.4,470.9,633.5,1165.3,455.3,710.0
25,Portugal,421.5,158.0,263.5,398.67499999999995,149.525,249.14999999999998,429.20000000000005,150.6,278.6,477.2,141.2,336.0
26,Romania,368.2,126.3,241.9,378.525,145.77499999999998,232.75,343.6,132.0,211.6,363.9,132.9,231.0
27,Slovenia,78.3,34.0,44.3,74.44999999999999,32.324999999999996,42.125,68.5,26.6,41.9,68.7,27.0,41.7
28,Slovakia,237.1,72.8,164.2,237.89999999999998,68.55,169.35,250.5,69.3,181.2,243.9,55.4,188.5
29,Finland,122.8,35.6,87.2,121.94999999999999,33.25,88.69999999999999,125.8,31.3,94.5,121.9,34.8,87.1
30,Sweden,287.6,113.9,173.7,275.325,113.55000000000001,161.77499999999998,271.2,109.6,161.6,260.5,103.5,157.0
31,Iceland,7.9,,6.9,6.766666666666667,1.2666666666666666,5.5,5.800000000000001,1.1,4.7,7.1,2.4,4.7
32,Norway,139.2,62.4,76.8,136.325,60.95,75.375,137.7,61.8,75.9,152.1,66.5,85.6
33,Switzerland,546.2,210.1,336.0,548.625,210.20000000000002,338.42499999999995,540.9,204.4,336.5,522.8,204.3,318.6
34,United Kingdom,2693.6,865.2,1828.4,2759.3,905.5666666666666,1853.7333333333333,,,,,,
35,Montenegro,19.4,8.0,11.4,18.299999999999997,7.5,10.799999999999999,,,,,,
36,North Macedonia,47.7,24.1,23.7,52.775,27.225,25.549999999999997,,,,,,
37,Serbia,235.7,92.5,143.2,229.575,93.05,136.525,240.3,93.4,146.9,241.5,101.0,140.4
38,Turkey,1871.1,1064.8,806.3,1829.8000000000002,1049.2,780.6,,,,,,
39,u,,,,,,,,,,,,
