,Country,2019_total,2019_males,2019_females,2020_total,2020_males,2020_females,2021_total,2021_males,2021_females,2022_total,2022_males,2022_females
0,European Union - 27 countries (from 2020),167909.5,87324.7,80584.8,164256.85,85480.5,78776.35,162761.8,84317.1,78444.7,168392.0,87124.5,81267.5
1,European Union - 28 countries (2013-2020),194819.3,100849.0,93970.3,,,,,,,,,
2,European Union - 15 countries (1995-2004),156592.5,80508.4,76084.1,,,,,,,,,
3,Euro area - 19 countries  (from 2015),128728.8,66505.6,62223.2,125715.625,65013.175,60702.450000000004,124318.3,63999.5,60318.8,129247.7,66571.6,62676.1
4,Belgium,4157.1,2124.5,2032.6,4074.2,2081.9,1992.2999999999997,4037.5,2083.8,1953.7,4211.6,2142.3,2069.4
5,Bulgaria,2801.1,1470.3,1330.9,2700.925,1406.8000000000002,1294.125,2647.3999999999996,1382.3,1265.1,2668.4,1375.3,1293.0
6,Czechia,4331.6,2312.9,2018.8,4257.925,2285.55,1972.375,4238.9,2273.5,1965.4,4226.4,2272.3,1954.2
7,Denmark,2581.9,1323.0,1258.8,2537.875,1297.4250000000002,1240.45,2501.5,1276.4,1225.1,2600.0,1316.5,1283.5
8,Germany (until 1990 former territory of the FRG),37985.4,19751.9,18233.6,,,,36326.1,18877.5,17448.6,37726.7,19694.2,18032.5
9,Estonia,571.5,285.0,286.6,546.725,270.55,276.175,549.0999999999999,269.2,279.9,571.8,280.0,291.8
10,Ireland,1976.4,996.5,979.8,1922.7250000000001,977.825,944.9000000000001,1886.3000000000002,953.7,932.6,2114.2,1054.4,1059.8
11,Greece,2635.9,1435.7,1200.2,2614.75,1416.025,1198.7250000000001,2402.4,1307.7,1094.7,2745.3,1478.6,1266.7
12,Spain,16742.3,8711.6,8030.7,15987.3,8344.75,7642.549999999999,15966.3,8264.3,7702.0,16774.5,8687.5,8087.1
13,France,23656.0,11725.4,11930.6,23404.75,11639.3,11765.449999999999,23608.6,11645.3,11963.3,24047.0,11832.8,12214.1
14,Croatia,1475.1,762.5,712.6,1436.1499999999999,750.9749999999999,685.175,1409.6,726.4,683.2,1438.6,730.2,708.3
15,Italy,17852.9,9779.3,8073.6,17486.675000000003,9599.725,7886.950000000001,16727.8,9166.9,7560.9,17511.6,9615.7,7895.8
16,Cyprus,358.7,183.0,175.7,354.75,180.925,173.825,357.79999999999995,181.7,176.1,386.5,199.2,187.3
17,Latvia,772.2,373.2,399.1,743.25,362.7,380.54999999999995,708.3,349.5,358.8,722.7,351.3,371.4
18,Lithuania,1175.3,561.2,614.1,1148.3,554.625,593.675,1149.8,571.8,578.0,1157.2,560.8,596.4
19,Luxembourg,262.1,140.0,122.1,262.5,138.525,123.975,265.6,141.2,124.4,276.7,147.9,128.8
20,Hungary,3959.3,2123.3,1836.0,3874.75,2088.725,1786.025,3955.7,2073.4,1882.3,4022.1,2079.9,1942.3
21,Malta,217.3,124.8,92.5,215.7,120.75,94.95,217.8,121.7,96.1,230.1,126.3,103.8
22,Netherlands,7349.4,3743.6,3605.7,7277.325000000001,3701.425,3575.9000000000005,7563.2,3785.0,3778.2,7766.2,3938.0,3828.2
23,Austria,3817.1,1976.9,1840.2,3746.125,1930.8,1815.3249999999998,3668.4,1889.7,1778.7,3800.4,1956.1,1844.3
24,Poland,12972.8,6890.2,6082.5,12828.375,6755.85,6072.525,12921.1,6735.3,6185.8,13139.2,6797.6,6341.6
25,Portugal,4003.2,1945.1,2058.1,3936.025,1901.3,2034.7250000000001,3888.1000000000004,1886.4,2001.7,4054.1,1952.8,2101.3
26,Romania,6562.7,3679.3,2883.4,6466.275,3636.625,2829.6499999999996,6465.799999999999,3670.6,2795.2,6618.2,3719.7,2898.5
27,Slovenia,856.1,440.6,415.5,849.5500000000001,448.35,401.20000000000005,797.1,415.8,381.3,834.2,432.4,401.8
28,Slovakia,2173.1,1134.5,1038.5,2123.6000000000004,1103.3000000000002,1020.3,2112.7,1066.1,1046.6,2149.2,1062.9,1086.3
29,Finland,2166.7,1072.9,1093.9,2156.425,1069.8999999999999,1086.525,2085.2,1022.0,1063.2,2167.7,1058.3,1109.3
30,Sweden,4496.3,2257.6,2238.6,4438.85,2245.35,2193.5,4303.299999999999,2179.6,2123.7,4431.5,2261.4,2170.0
31,Iceland,168.5,85.7,82.8,165.05,84.75000000000001,80.30000000000001,156.3,81.5,74.8,171.2,87.6,83.7
32,Norway,2474.0,1278.0,1196.0,2460.775,1267.5,1193.275,2483.6,1280.5,1203.1,2600.1,1354.9,1245.1
33,Switzerland,3986.7,2079.9,1906.9,3948.075,2057.65,1890.425,3873.9,2020.9,1853.0,3872.4,2011.8,1860.6
34,United Kingdom,26909.8,13524.2,13385.6,26952.0,13537.1,13414.9,,,,,,
35,Montenegro,185.9,93.4,92.5,169.10000000000002,88.35000000000001,80.75,,,,,,
36,North Macedonia,647.4,368.5,278.9,648.725,373.55,275.175,,,,,,
37,Serbia,2097.9,1117.2,980.8,2097.225,1115.675,981.55,2107.5,1124.3,983.2,2191.4,1172.1,1019.3
38,Turkey,19394.8,13475.3,5919.5,18594.85,12909.9,5684.95,,,,,,
