,Country,Time,Value
0,Australia,2011,36.1
1,Australia,2012,35.7
2,Australia,2013,35.8
3,Australia,2014,36.3
4,Australia,2015,37.7
5,Australia,2016,36.7
6,Australia,2017,38.7
7,Australia,2018,37.8
8,Austria,2011,27.5
9,Austria,2012,30.1
10,Austria,2013,29.3
11,Austria,2014,30.3
12,Austria,2015,29.7
13,Austria,2016,31.8
14,Austria,2017,31.8
15,Austria,2018,31.6
16,Belgium,2011,29.9
17,Belgium,2012,32.4
18,Belgium,2013,31.4
19,Belgium,2014,31.7
20,Belgium,2015,32.6
21,Belgium,2016,32.7
22,Belgium,2017,33.5
23,Belgium,2018,33.9
24,Canada,2011,37.1
25,Canada,2012,36.4
26,Canada,2013,35.8
27,Canada,2014,35.5
28,Canada,2015,36.3
29,Canada,2017,34.5
30,Canada,2018,35.1
31,Czech Republic,2011,25.8
32,Czech Republic,2012,26.2
33,Czech Republic,2013,27.2
34,Czech Republic,2014,27.9
35,Czech Republic,2015,29.5
36,Czech Republic,2016,25.4
37,Czech Republic,2017,24.6
38,Czech Republic,2018,26.8
39,Denmark,2011,27.8
40,Denmark,2012,28.4
41,Denmark,2013,26.7
42,Denmark,2014,26.0
43,Denmark,2015,26.3
44,Denmark,2016,27.5
45,Denmark,2017,26.3
46,Denmark,2018,26.1
47,Finland,2011,32.0
48,Finland,2012,29.7
49,Finland,2013,29.6
50,Finland,2014,33.7
51,Finland,2015,33.3
52,Finland,2016,34.1
53,Finland,2017,31.3
54,Finland,2018,31.8
55,France,2011,39.3
56,France,2012,39.3
57,France,2013,36.0
58,France,2014,32.7
59,France,2015,31.8
60,France,2016,33.1
61,France,2017,33.4
62,France,2018,34.4
63,Germany,2011,30.3
64,Germany,2012,28.6
65,Germany,2013,28.9
66,Germany,2014,29.0
67,Germany,2015,29.3
68,Germany,2016,29.3
69,Germany,2017,29.2
70,Germany,2018,29.4
71,Greece,2011,23.6
72,Greece,2012,26.0
73,Greece,2013,28.8
74,Greece,2014,28.3
75,Greece,2015,25.7
76,Greece,2016,25.5
77,Greece,2017,29.8
78,Greece,2018,27.5
79,Hungary,2011,40.4
80,Hungary,2012,38.9
81,Hungary,2013,40.8
82,Hungary,2014,39.8
83,Hungary,2015,40.5
84,Hungary,2016,39.4
85,Hungary,2017,39.4
86,Hungary,2018,38.6
87,Iceland,2011,39.8
88,Iceland,2012,39.9
89,Iceland,2013,37.6
90,Iceland,2014,37.2
91,Iceland,2015,38.2
92,Iceland,2016,34.2
93,Iceland,2017,32.4
94,Iceland,2018,41.5
95,Ireland,2011,33.8
96,Ireland,2012,33.2
97,Ireland,2013,33.3
98,Ireland,2014,33.7
99,Ireland,2015,34.6
100,Ireland,2016,36.2
101,Ireland,2017,36.2
102,Ireland,2018,36.0
103,Italy,2011,25.1
104,Italy,2012,26.0
105,Italy,2013,27.0
106,Italy,2014,26.6
107,Italy,2015,26.6
108,Italy,2016,27.7
109,Italy,2017,27.5
110,Italy,2018,27.0
111,Japan,2011,11.7
112,Japan,2012,11.3
113,Japan,2013,10.9
114,Japan,2014,11.4
115,Japan,2016,13.3
116,Japan,2017,12.8
117,Korea,2011,10.1
118,Korea,2012,11.1
119,Korea,2013,11.4
120,Korea,2014,11.1
121,Korea,2015,10.5
122,Korea,2016,9.8
123,Korea,2017,12.3
124,Korea,2018,14.5
125,Luxembourg,2011,24.0
126,Luxembourg,2012,18.0
127,Luxembourg,2013,14.9
128,Luxembourg,2014,22.5
