,Name,Total board members,Number of women board members,% women board members,Total number of executive board members,Number of women executive board members,% women over total executive board members,Total numberof proprietary board members,Number of women proprietary board members,% women over total proprietary board members,Total number of independent board members ,Number of women independent board members,% women over total independent board members,Total number of other external board members,Number of women other external board members,% women over total other external board members,Number of key executives no members of the board,Number of women key executives no members of the board,% total women key executives no members of the board
0,Acciona,11,3,0.272727272727273,2,0,0,2,0,0,7,3,0.428571428571429,0,0,,37,3,0.0810810810810811
1,Acerinox,13,3,0.230769230769231,1,0,0,5,0,0,7,3,0.428571428571429,0,0,,9,0,0
2,Grupo ACS,17,3,0.176470588235294,5,0,0,3,1,0.333333333333333,5,2,0.4,4,0,0,50,5,0.1
3,Aena,15,4,0.266666666666667,1,0,0,8,3,0.375,6,1,0.166666666666667,0,0,,10,4,0.4
4,Amadeus,13,2,0.153846153846154,1,0,0,0,0,,10,2,0.2,2,0,0,13,3,0.230769230769231
5,BBVA,15,4,0.266666666666667,3,0,0,0,0,,8,3,0.375,4,1,0.25,15,3,0.2
6,Banco Sabadell,15,3,0.2,5,1,0.2,1,0,0,8,1,0.125,1,1,1,10,1,0.1
7,Banco Santander,15,6,0.4,2,1,0.5,0,0,,9,5,0.555555555555556,4,0,0,18,5,0.277777777777778
8,Bankia,12,2,0.166666666666667,3,0,0,0,0,,8,2,0.25,1,0,0,10,1,0.1
9,Bankinter,12,4,0.333333333333333,2,1,0.5,2,0,0,7,3,0.428571428571429,1,0,0,9,3,0.333333333333333
10,Caixabank,16,6,0.375,1,0,0,8,2,0.25,7,4,0.571428571428571,0,0,,11,1,0.0909090909090909
11,Cellnex Telecom,12,4,0.333333333333333,1,0,0,4,1,0.25,7,3,0.428571428571429,0,0,,7,0,0
12,CIE Automotive,13,2,0.153846153846154,2,0,0,9,2,0.222222222222222,2,0,0,0,0,,9,4,0.444444444444444
13,Enagas,13,4,0.307692307692308,2,0,0,2,0,0,8,4,0.5,1,0,0,10,3,0.3
14,Ence Energia Y Celulosa,14,4,0.285714285714286,1,0,0,5,0,0,5,4,0.8,3,0,0,11,2,0.181818181818182
15,Endesa,11,2,0.181818181818182,1,0,0,4,1,0.25,6,1,0.166666666666667,0,0,,17,2,0.117647058823529
16,Ferrovial,12,2,0.166666666666667,2,0,0,2,1,0.5,8,1,0.125,0,0,,13,2,0.153846153846154
17,Grifols,13,4,0.307692307692308,2,0,0,1,0,0,7,4,0.571428571428571,3,0,0,20,2,0.1
18,Iberdrola,14,6,0.428571428571429,2,0,0,0,0,,10,5,0.5,2,1,0.5,9,1,0.111111111111111
19,Indra,13,4,0.307692307692308,3,1,0.333333333333333,3,0,0,7,3,0.428571428571429,0,0,,13,1,0.0769230769230769
20,Inditex,11,4,0.363636363636364,2,0,0,3,1,0.333333333333333,6,3,0.5,0,0,,21,5,0.238095238095238
21,Inmobiliaria Colonial,13,3,0.230769230769231,2,0,0,5,0,0,6,3,0.5,0,0,,4,2,0.5
22,IAG,12,4,0.333333333333333,2,0,0,0,0,,10,4,0.4,0,0,,10,2,0.2
23,Mapfre,15,5,0.333333333333333,5,0,0,3,0,0,7,5,0.714285714285714,0,0,,8,3,0.375
24,Masmovil Ibercom,12,3,0.25,1,0,0,5,0,0,6,3,0.5,0,0,,13,1,0.0769230769230769
25,Mediaset España,13,4,0.307692307692308,3,0,0,5,1,0.2,4,3,0.75,1,0,0,19,3,0.157894736842105
26,Melia Hotels,11,3,0.272727272727273,1,0,0,4,1,0.25,6,2,0.333333333333333,0,0,,6,1,0.166666666666667
27,Merlin Properties,12,4,0.333333333333333,2,0,0,2,1,0.5,8,3,0.375,0,0,,6,0,0
28,Naturgy,12,1,0.0833333333333333,1,0,0,6,0,0,5,1,0.2,0,0,,12,1,0.0833333333333333
29,Red Electrica,12,5,0.416666666666667,1,0,0,3,2,0.666666666666667,7,3,0.428571428571429,1,0,0,2,1,0.5
30,Repsol,15,5,0.333333333333333,1,0,0,3,0,0,8,5,0.625,3,0,0,9,3,0.333333333333333
31,Siemens Gamesa,13,3,0.230769230769231,2,0,0,6,2,0.333333333333333,5,1,0.2,0,0,,7,0,0
32,Telefonica,17,5,0.294117647058824,2,0,0,4,0,0,9,5,0.555555555555556,2,0,0,5,0,0
33,Viscofan,10,2,0.2,2,0,0,2,0,0,4,1,0.25,2,1,0.5,23,2,0.0869565217391304
