,Name,Total board members,Number of women board members,% women board members,Total number of executive board members,Number of women executive board members,% women over total executive board members,Total numberof proprietary board members,Number of women proprietary board members,% women over total proprietary board members,Total number of independent board members ,Number of women independent board members,% women over total independent board members,Total number of other external board members,Number of women other external board members,% women over total other external board members,Number of key executives no members of the board,Number of women key executives no members of the board,% total women key executives no members of the board
0,Aedas Homes,9,2,0.222222222222222,1,0,0,2,0,0,6,2,0.333333333333333,0,0,,8,4,0.5
1,Alantra,9,2,0.222222222222222,1,0,0,3,0,0,4,2,0.5,1,0,0,4,1,0.25
2,Almirall,10,2,0.2,1,0,0,3,0,0,5,2,0.4,1,0,0,9,2,0.222222222222222
3,AmRest,7,1,0.142857142857143,0,0,,3,0,0,4,1,0.25,0,0,,10,2,0.2
4,Applus+,10,3,0.3,2,0,0,0,0,,8,3,0.375,0,0,,20,3,0.15
5,Atresmedia,12,4,0.333333333333333,3,0,0,5,0,0,4,4,1,0,0,,11,1,0.0909090909090909
6,Audax Renovables,5,0,0,2,0,0,0,0,,3,0,0,0,0,,3,2,0.666666666666667
7,BME,11,3,0.272727272727273,2,0,0,2,0,0,6,3,0.5,1,0,0,10,3,0.3
8,Cementos Molins,14,4,0.285714285714286,1,0,0,8,2,0.25,4,2,0.5,1,0,0,9,2,0.222222222222222
9,Logista Holdings,10,1,0.1,2,0,0,4,0,0,4,1,0.25,0,0,,11,2,0.181818181818182
10,CAF,10,3,0.3,2,1,0.5,1,0,0,6,2,0.333333333333333,1,0,0,11,1,0.0909090909090909
11,Corporacion Financiera Alba,12,4,0.333333333333333,3,0,0,3,0,0,6,4,0.666666666666667,0,0,,5,0,0
12,Dia,7,0,0,1,0,0,3,0,0,3,0,0,0,0,,10,2,0.2
13,Ebro Foods,13,5,0.384615384615385,2,0,0,7,3,0.428571428571429,4,2,0.5,0,0,,10,4,0.4
14,Elecnor,15,2,0.133333333333333,1,0,0,10,0,0,3,2,0.666666666666667,1,0,0,10,0,0
15,Euskaltel,13,3,0.230769230769231,1,0,0,5,1,0.2,6,2,0.333333333333333,1,0,0,8,1,0.125
16,Faes Farma,8,3,0.375,1,0,0,4,1,0.25,3,2,0.666666666666667,0,0,,17,4,0.235294117647059
17,Fluidra,12,1,0.0833333333333333,2,0,0,6,0,0,4,1,0.25,0,0,,8,1,0.125
18,Fomento De Construcciones Y Contratas,14,4,0.285714285714286,2,0,0,9,4,0.444444444444444,3,0,0,0,0,,4,0,0
19,Gestamp Automocion,12,2,0.166666666666667,2,0,0,3,0,0,6,2,0.333333333333333,1,0,0,9,2,0.222222222222222
20,Dominion Global,12,2,0.166666666666667,2,0,0,6,1,0.166666666666667,4,1,0.25,0,0,,8,0,0
21,Grupo Catalana Occidente,16,1,0.0625,4,0,0,10,1,0.1,2,0,0,0,0,,6,0,0
22,Laboratorios Farmaceuticos Rovi,7,1,0.142857142857143,3,0,0,1,0,0,3,1,0.333333333333333,0,0,,10,4,0.4
23,Lar España,7,2,0.285714285714286,0,0,,2,0,0,5,2,0.4,0,0,,3,1,0.333333333333333
24,Liberbank,11,3,0.272727272727273,1,0,0,6,1,0.166666666666667,4,2,0.5,0,0,,10,1,0.1
25,Metrovacesa,12,3,0.25,1,0,0,6,1,0.166666666666667,4,2,0.5,1,0,0,10,5,0.5
26,Miquel Y Costas,10,2,0.2,3,0,0,2,1,0.5,4,1,0.25,1,0,0,6,1,0.166666666666667
27,Neinor Homes,9,1,0.111111111111111,2,0,0,2,0,0,4,1,0.25,1,0,0,8,0,0
28,Nh Hotel Group,9,1,0.111111111111111,2,1,0.5,4,0,0,3,0,0,0,0,,6,1,0.166666666666667
29,Pharma Mar,11,3,0.272727272727273,2,0,0,2,1,0.5,5,2,0.4,2,0,0,7,3,0.428571428571429
30,Grupo Prisa,13,3,0.230769230769231,1,0,0,5,0,0,7,3,0.428571428571429,0,0,,11,2,0.181818181818182
31,Prosegur Cash,9,3,0.333333333333333,2,0,0,3,1,0.333333333333333,4,2,0.5,0,0,,10,2,0.2
32,Prosegur,8,2,0.25,1,0,0,2,2,1,3,0,0,2,0,0,8,0,0
33,Realia,6,3,0.5,1,0,0,3,2,0.666666666666667,2,1,0.5,0,0,,4,1,0.25
34,Sacyr,13,3,0.230769230769231,1,0,0,5,0,0,6,3,0.5,1,0,0,10,0,0
35,Solaria Energia Y Medioambiente,6,1,0.166666666666667,2,0,0,1,0,0,2,1,0.5,1,0,0,3,0,0
36,Talgo,13,0,0,2,0,0,3,0,0,6,0,0,2,0,0,14,3,0.214285714285714
37,Tecnicas Reunidas,14,1,0.0714285714285714,2,0,0,2,0,0,5,1,0.2,5,0,0,11,2,0.181818181818182
38,Unicaja Banco,11,4,0.363636363636364,2,0,0,5,2,0.4,4,2,0.5,0,0,,13,0,0
39,Vidrala,11,3,0.272727272727273,0,0,,5,1,0.2,3,1,0.333333333333333,3,1,0.333333333333333,14,1,0.0714285714285714
40,Zardoya Otis,11,4,0.363636363636364,1,0,0,7,3,0.428571428571429,2,1,0.5,1,0,0,3,0,0
