,Name,Total board members,Number of women board members,% women board members,Total number of executive board members,Number of  women executive board members,% women over total executive board members,Total number of proprietary board members,Number of women proprietary board members,% women over total proprietary board members,Total number of independent board members,Number of women independent board members,% women over total independent board members,Total number of other external board members,Number of women other external board members,%  women over total other external board members,Number of key executives no members of the board,Number of women key executives no members of the board,% total women key executives no members of the board
0,Aedas Homes,9,2,0.222222222222222,1,0,0,2,0,0,6,2,0.333333333333333,0,0,,8,4,0.5
1,Alantra,9,2,0.222222222222222,1,0,0,3,0,0,4,2,0.5,1,0,0,3,1,0.333333333333333
2,AmRest,7,2,0.285714285714286,1,0,0,2,0,0,4,2,0.5,0,0,,11,2,0.181818181818182
3,Applus+,10,3,0.3,2,0,0,0,0,,7,3,0.428571428571429,1,0,0,19,3,0.157894736842105
4,Atresmedia,12,4,0.333333333333333,3,0,0,5,0,0,4,4,1,0,0,,10,1,0.1
5,Audax Renovables,5,0,0,2,0,0,0,0,,3,0,0,0,0,,3,1,0.333333333333333
6,Cementos Molins,14,4,0.285714285714286,1,0,0,8,2,0.25,4,2,0.5,1,0,0,9,2,0.222222222222222
7,Logista Holdings,12,5,0.416666666666667,2,1,0.5,5,2,0.4,5,2,0.4,0,0,,8,2,0.25
8,CAF,11,4,0.363636363636364,2,1,0.5,2,1,0.5,5,2,0.4,2,0,0,7,1,0.142857142857143
9,Corporacion Financiera Alba,12,4,0.333333333333333,2,0,0,3,0,0,6,4,0.666666666666667,1,0,0,5,0,0
10,Dia,6,1,0.166666666666667,1,0,0,1,0,0,4,1,0.25,0,0,,10,2,0.2
11,Ebro Foods,14,5,0.357142857142857,2,0,0,8,3,0.375,4,2,0.5,0,0,,11,4,0.363636363636364
12,Elecnor,15,2,0.133333333333333,1,0,0,10,0,0,3,2,0.666666666666667,1,0,0,10,1,0.1
13,Ence Energia Y Celulosa,14,4,0.285714285714286,1,0,0,5,0,0,5,4,0.8,3,0,0,11,2,0.181818181818182
14,Euskaltel,10,4,0.4,1,0,0,4,1,0.25,4,3,0.75,1,0,0,11,2,0.181818181818182
15,Faes Farma,8,3,0.375,1,0,0,4,1,0.25,3,2,0.666666666666667,0,0,,17,4,0.235294117647059
16,Fluidra,12,1,0.0833333333333333,2,0,0,6,0,0,4,1,0.25,0,0,,9,1,0.111111111111111
17,Fomento De Construcciones Y Contratas,14,4,0.285714285714286,2,0,0,9,4,0.444444444444444,3,0,0,0,0,,4,0,0
18,Gestamp Automocion,12,2,0.166666666666667,2,0,0,3,0,0,6,2,0.333333333333333,1,0,0,10,2,0.2
19,Dominion Global,11,3,0.272727272727273,2,0,0,3,1,0.333333333333333,4,2,0.5,2,0,0,8,2,0.25
20,Grenergy Renovables,6,2,0.333333333333333,2,0,0,1,0,0,3,2,0.666666666666667,0,0,,4,1,0.25
21,Grupo Catalana Occidente,16,1,0.0625,4,0,0,10,1,0.1,2,0,0,0,0,,7,0,0
22,Laboratorios Farmaceuticos Rovi,7,1,0.142857142857143,3,0,0,1,0,0,3,1,0.333333333333333,0,0,,10,4,0.4
23,Liberbank,11,3,0.272727272727273,1,0,0,6,1,0.166666666666667,4,2,0.5,0,0,,11,1,0.0909090909090909
24,Mediaset España,12,3,0.25,3,0,0,5,1,0.2,3,2,0.666666666666667,1,0,0,19,3,0.157894736842105
25,Metrovacesa,12,3,0.25,1,0,0,6,1,0.166666666666667,4,2,0.5,1,0,0,11,5,0.454545454545455
26,Neinor Homes,9,1,0.111111111111111,2,0,0,2,0,0,4,1,0.25,1,0,0,7,0,0
27,Nh Hotel Group,9,0,0,2,0,0,4,0,0,3,0,0,0,0,,7,1,0.142857142857143
28,Promotora De Informaciones,12,2,0.166666666666667,1,0,0,5,0,0,6,2,0.333333333333333,0,0,,10,2,0.2
29,Prosegur Cash,9,3,0.333333333333333,2,0,0,3,1,0.333333333333333,4,2,0.5,0,0,,9,2,0.222222222222222
30,Prosegur,8,2,0.25,1,0,0,2,2,1,3,0,0,2,0,0,8,0,0
31,Realia,6,3,0.5,1,0,0,3,2,0.666666666666667,2,1,0.5,0,0,,4,1,0.25
32,Sacyr,13,3,0.230769230769231,1,0,0,5,0,0,6,3,0.5,1,0,0,8,0,0
33,Solarpack Corporacion Tecnologica,8,3,0.375,2,0,0,3,1,0.333333333333333,3,2,0.666666666666667,0,0,,12,4,0.333333333333333
34,Soltec Power Holdings,7,3,0.428571428571429,1,0,0,3,1,0.333333333333333,3,2,0.666666666666667,0,0,,7,3,0.428571428571429
35,Talgo,14,1,0.0714285714285714,2,0,0,3,0,0,7,1,0.142857142857143,2,0,0,12,3,0.25
36,Tecnicas Reunidas,14,2,0.142857142857143,1,0,0,1,0,0,7,2,0.285714285714286,5,0,0,11,1,0.0909090909090909
37,Unicaja Banco,12,5,0.416666666666667,2,0,0,5,2,0.4,5,3,0.6,0,0,,13,0,0
38,Urbas Grupo Financiero,6,0,0,2,0,0,0,0,,4,0,0,0,0,,0,0,
39,Vidrala,11,3,0.272727272727273,0,0,,5,1,0.2,3,1,0.333333333333333,3,1,0.333333333333333,11,0,0
40,Zardoya Otis,7,3,0.428571428571429,1,0,0,4,2,0.5,2,1,0.5,0,0,,3,0,0
