,Name,Total board members,Number of women board members,% women board members,Total number of executive board members,Number of women executive board members,% women over total executive board members,Total numberof proprietary board members,Number of women proprietary board members,% women over total proprietary board members,Total number of independent board members ,Number of women independent board members,% women over total independent board members,Total number of other external board members,Number of women other external board members,% women over total other external board members,Number of key executives no members of the board,Number of women key executives no members of the board,% total women key executives no members of the board
0,Abengoa,7,1,0.142857142857143,1,0,0,0,0,0,6,1,0.166666666666667,0,0,0,5,0,0
1,Adolfo Dominguez,8,4,0.5,2,1,0.5,2,2,1,4,1,0.25,0,0,0,5,3,0.6
2,Adveo Group International,9,1,0.111111111111111,1,0,0,4,0,0,4,1,0.25,0,0,0,14,1,0.0714285714285714
3,Airtificial,15,2,0.133333333333333,1,0,0,8,1,0.125,4,1,0.25,2,0,0,13,1,0.0769230769230769
4,Amper,5,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0
5,Arima Real Estate,5,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0
6,Audax Renovables,6,0,0,0,0,0,4,0,0,2,0,0,0,0,0,3,1,0.333333333333333
7,Ayco Grupo Inmobiliario,6,0,0,0,0,0,3,0,0,2,0,0,1,0,0,1,0,0
8,Azkoyen,10,1,0.1,0,0,0,5,0,0,5,1,0.2,0,0,0,11,0,0
9,Baron De Ley,8,1,0.125,3,0,0,1,1,1,3,0,0,1,0,0,8,1,0.125
10,Biosearch,5,1,0.2,0,0,0,3,0,0,2,1,0.5,0,0,0,9,4,0.444444444444444
11,Bodegas Bilbainas,5,2,0.4,1,0,0,0,0,0,2,1,0.5,2,1,0.5,0,0,0
12,Bodegas Riojanas,10,2,0.2,1,0,0,6,2,0.333333333333333,2,0,0,1,0,0,0,0,0
13,Cartera Industrial Rea,15,3,0.2,0,0,0,11,2,0.181818181818182,2,1,0.5,2,0,0,0,0,0
14,Clinica Baviera,7,1,0.142857142857143,1,0,0,4,1,0.25,2,0,0,0,0,0,1,0,0
15,Codere,8,0,0,0,0,0,6,0,0,2,0,0,0,0,0,16,1,0.0625
16,Cevasa,7,2,0.285714285714286,0,0,0,4,0,0,2,1,0.5,1,1,1,3,0,0
17,Cleo,5,1,0.2,1,0,0,2,0,0,2,1,0.5,0,0,0,3,1,0.333333333333333
18,COEMAC,5,0,0,2,0,0,1,0,0,2,0,0,0,0,0,1,0,0
19,Deoleo,12,0,0,1,0,0,9,0,0,2,0,0,0,0,0,11,4,0.363636363636364
20,DESA,13,0,0,1,0,0,7,0,0,4,0,0,1,0,0,2,1,0.5
21,Dia,8,2,0.25,2,0,0,0,0,0,5,2,0.4,1,0,0,7,1,0.142857142857143
22,Duro Felguera,8,2,0.25,1,0,0,0,0,0,6,2,0.333333333333333,1,0,0,6,0,0
23,Ecolumber,14,1,0.0714285714285714,2,0,0,8,0,0,3,0,0,1,1,1,0,0,0
24,Ercros,5,2,0.4,1,0,0,0,0,0,2,2,1,2,0,0,3,0,0
25,Finanzas E Inversiones Valencianas,4,1,0.25,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0
26,GAM,7,1,0.142857142857143,1,0,0,4,0,0,2,1,0.5,0,0,0,8,1,0.125
27,Grupo San Jose,11,1,0.0909090909090909,3,0,0,1,0,0,6,1,0.166666666666667,1,0,0,10,0,0
28,Grupo Ezentis,10,4,0.4,2,0,0,2,1,0.5,5,3,0.6,1,0,0,6,0,0
29,Iberpapel,8,1,0.125,1,0,0,1,0,0,5,1,0.2,1,0,0,8,0,0
30,Inmobiliaria Del Sur,15,1,0.0666666666666667,1,0,0,11,0,0,3,1,0.333333333333333,0,0,0,1,0,0
31,Laboratorio Reig Jofre,8,2,0.25,2,0,0,1,1,1,5,1,0.2,0,0,0,4,1,0.25
32,Libertas 7,7,2,0.285714285714286,1,1,1,3,1,0.333333333333333,3,0,0,0,0,0,4,1,0.25
33,Lingotes Especiales,9,1,0.111111111111111,3,0,0,1,0,0,2,1,0.5,3,0,0,9,1,0.111111111111111
34,Liwe Española,6,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0
35,Minersa,8,2,0.25,1,0,0,5,1,0.2,2,1,0.5,0,0,0,0,0,0
36,Mobiliaria Monesa,8,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0
37,Montebalito,7,1,0.142857142857143,1,0,0,3,1,0.333333333333333,2,0,0,1,0,0,0,0,0
38,Natra,7,2,0.285714285714286,0,0,0,1,0,0,4,2,0.5,2,0,0,7,0,0
39,Naturhouse Health,7,1,0.142857142857143,3,1,0.333333333333333,1,0,0,3,0,0,0,0,0,7,0,0
40,Nicolas Correa,7,3,0.428571428571429,2,1,0.5,1,1,1,2,0,0,2,1,0.5,0,0,0
41,Nextil,5,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0
42,Nyesa Valores Corporacion,7,1,0.142857142857143,3,0,0,1,0,0,3,1,0.333333333333333,0,0,0,0,0,0
43,OHLA,10,3,0.3,1,0,0,4,1,0.25,4,2,0.5,1,0,0,10,0,0
44,Oryzon Genomics,7,2,0.285714285714286,2,1,0.5,1,0,0,4,1,0.25,0,0,0,6,2,0.333333333333333
45,Pescanova,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0
46,Pharma Mar,10,2,0.2,2,0,0,2,1,0.5,5,1,0.2,1,0,0,6,2,0.333333333333333
47,Prim,7,1,0.142857142857143,1,0,0,2,0,0,3,1,0.333333333333333,1,0,0,3,1,0.333333333333333
48,Quabit Inmobiliaria,4,1,0.25,1,0,0,1,0,0,2,1,0.5,0,0,0,8,2,0.25
49,Renta 4 Banco,14,2,0.142857142857143,4,0,0,3,0,0,5,2,0.4,2,0,0,1,0,0
50,Renta Corporacion,9,3,0.333333333333333,2,0,0,3,1,0.333333333333333,3,1,0.333333333333333,1,1,1,1,0,0
51,Saint Croix Holding Immobilier,6,2,0.333333333333333,1,0,0,2,1,0.5,2,1,0.5,1,0,0,0,0,0
52,Service Point,5,1,0.2,1,0,0,0,0,0,2,0,0,2,1,0.5,1,0,0
53,Sniace,7,1,0.142857142857143,1,0,0,2,0,0,2,1,0.5,2,0,0,3,0,0
54,Solaria,5,0,0,2,0,0,1,0,0,2,0,0,0,0,0,4,0,0
55,Solarpack,7,3,0.428571428571429,1,0,0,3,1,0.333333333333333,3,2,0.666666666666667,0,0,0,12,4,0.333333333333333
56,TRH Jardin Del Mar,5,2,0.4,1,0,0,2,0,0,2,2,1,0,0,0,0,,0
57,Tubacex,12,3,0.25,1,0,0,2,1,0.5,7,2,0.285714285714286,2,0,0,9,0,0
58,Tubos Reunidos,9,2,0.222222222222222,0,0,0,6,1,0.166666666666667,3,1,0.333333333333333,0,0,0,10,2,0.2
59,Uncavasa,7,1,0.142857142857143,1,0,0,4,1,0.25,2,0,0,0,0,0,1,0,0
60,Urbar Ingenieros,5,0,0,0,0,0,2,0,0,3,0,0,0,0,0,3,0,0
61,Urbas Grupo Financiero,7,0,0,2,0,0,0,0,0,5,0,0,0,0,0,3,1,0.333333333333333
62,Vertice Trescientos Sesenta Grados,5,1,0.2,1,0,0,1,0,0,3,1,0.333333333333333,0,0,0,0,0,0
63,Vocento,10,1,0.1,1,0,0,6,1,0.166666666666667,3,0,0,0,0,0,9,2,0.222222222222222
