,Name,Total board members,Number of women board members,% women board members,Total number of executive board members,Number of  women executive board members,% women over total executive board members,Total number of proprietary board members,Number of women proprietary board members,% women over total proprietary board members,Total number of independent board members,Number of women independent board members,% women over total independent board members,Total number of other external board members,Number of women other external board members,%  women over total other external board members,Number of key executives no members of the board,Number of women key executives no members of the board,% total women key executives no members of the board
0,Adolfo Dominguez,7,4,0.571428571428571,1,1,1,3,2,0.666666666666667,3,1,0.333333333333333,0,0,,8,6,0.75
1,Airtificial,10,1,0.1,1,0,0,5,1,0.2,3,0,0,1,0,0,10,1,0.1
2,Amper,6,0,0,1,0,0,2,0,0,3,0,0,0,0,,0,0,
3,Arima Real Estate,7,1,0.142857142857143,2,1,0.5,1,0,0,4,0,0,0,0,,0,0,
4,Ayco Grupo Inmobiliario,7,2,0.285714285714286,1,0,0,1,0,0,3,1,0.333333333333333,2,1,0.5,1,0,0
5,Azkoyen,8,1,0.125,1,0,0,5,1,0.2,2,0,0,0,0,,11,0,0
6,Baron De Ley,8,1,0.125,4,0,0,1,1,1,2,0,0,1,0,0,7,1,0.142857142857143
7,Biosearch,5,1,0.2,0,0,,3,0,0,2,1,0.5,0,0,,9,4,0.444444444444444
8,Bodegas Riojanas,10,3,0.3,1,0,0,6,2,0.333333333333333,3,1,0.333333333333333,0,0,,3,1,0.333333333333333
9,Clinica Baviera,6,1,0.166666666666667,1,0,0,4,1,0.25,1,0,0,0,0,,1,0,0
10,Codere,6,0,0,0,0,,4,0,0,2,0,0,0,0,,13,0,0
11,Cevasa,8,2,0.25,1,0,0,4,0,0,2,1,0.5,1,1,1,3,0,0
12,Cleo,5,1,0.2,1,0,0,2,0,0,2,1,0.5,0,0,,4,1,0.25
13,COEMAC,4,0,0,0,0,,2,0,0,2,0,0,0,0,,2,1,0.5
14,Deoleo,6,0,0,1,0,0,3,0,0,2,0,0,0,0,,11,5,0.454545454545455
15,DESA,12,1,0.0833333333333333,1,0,0,8,1,0.125,2,0,0,1,0,0,3,1,0.333333333333333
16,Duro Felguera,5,1,0.2,1,0,0,0,0,,4,1,0.25,0,0,,10,3,0.3
17,Ecolumber,13,2,0.153846153846154,1,0,0,8,1,0.125,3,0,0,1,1,1,0,0,
18,Ercros,6,2,0.333333333333333,1,0,0,1,0,0,2,2,1,2,0,0,3,0,0
19,Finanzas E Inversiones Valencianas,4,1,0.25,0,0,,1,1,1,2,0,0,1,0,0,0,0,
20,GAM,6,2,0.333333333333333,1,0,0,2,1,0.5,3,1,0.333333333333333,0,0,,9,2,0.222222222222222
21,Grupo San Jose,11,2,0.181818181818182,4,0,0,1,0,0,4,1,0.25,2,1,0.5,9,0,0
22,Grupo Ezentis,9,4,0.444444444444444,2,0,0,2,1,0.5,5,3,0.6,0,0,,4,0,0
23,Iberpapel,8,2,0.25,1,0,0,1,0,0,4,2,0.5,2,0,0,8,0,0
24,Inmobiliaria Del Sur,15,2,0.133333333333333,1,0,0,11,1,0.0909090909090909,3,1,0.333333333333333,0,0,,1,0,0
25,Laboratorio Reig Jofre,9,2,0.222222222222222,1,0,0,3,1,0.333333333333333,5,0,0,0,1,,3,1,0.333333333333333
26,Lar España,7,2,0.285714285714286,0,0,,2,0,0,5,2,0.4,0,0,,3,1,0.333333333333333
