,Company,rating,ratings number,2018,2019,2020,2021,2022,conciliacion,compensacion/beneficios,estabilidad y desarrollo,gestion,cultura laboral,salary satisfaction
0,Acciona,"4,0",1.108,3.80,3.92,3.65,4.00,3.87,,,,,,61
1,Acerinox,"4,5",13,4.50,5.00,5.00,2.00,,,,,,,95
2,Grupo ACS,"3,5",13,3.00,2.00,,,1.00,,,,,,
3,Aena,"4,1",54,4.25,4.40,3.75,,4.00,,,,,,65
4,Almirall,"4,0",90,4.22,4.33,2.00,4.50,4.00,,,,,,90
5,Amadeus,,304,4.33,4.33,3.00,,4.00,,,,,,
6,BBVA,"4,2",6.641,4.30,4.22,4.44,4.33,4.00,,,,,,80
7,Banco Sabadell,"3,9",132,3.94,3.53,3.43,4.50,3.50,,,,,,68
8,Banco Santander,"3,9",11.262,4.03,3.84,3.76,2.87,1.89,,,,,,60
9,Bankinter,"4,0",86,4.83,3.00,4.00,3.60,5.00,,,,,,59
10,Caixabank,,274,4.11,3.97,3.65,3.71,3.77,,,,,,62
11,Cellnex Telecom,"3,7",7,2.00,4.00,3.00,,3.00,,,,,,
12,CIE Automotive,"3,6",50,,5.00,3.50,2.00,,,,,,,73
13,Enagas,"4,3",12,5.00,4.00,4.00,,,,,,,,
14,Endesa,"3,7",404,3.80,3.32,3.40,3.00,4.33,,,,,,36
15,Ferrovial,"3,9",880,3.95,3.74,3.98,4.00,3.74,,,,,,66
16,Fluidra,"3,1",22,5.00,4.00,4.00,,4.00,,,,,,84
17,Grifols,"3,0",2.700,4.08,4.63,4.27,4.50,3.67,,,,,,86
18,Iberdrola,"3,5",64,3.00,2.29,3.17,5.00,2.75,,,,,,39
19,Indra,"3,8",1.593,3.48,2.79,2.87,3.00,3.17,,,,,,34
20,Inditex,"4,0",1.932,4.06,4.08,4.43,4.15,4.16,,,,,,76
21,Inmobiliaria Colonial,"3,5",71,,5.00,,,2.00,,,,,,
22,IAG,"3,0",2,,,,,,,,,,,
23,Rovi,"3,6",69,3.75,3.43,4.67,2.80,2.63,,,,,,61
24,Mapfre,"3,9",856,4.06,3.69,3.47,3.11,2.89,,,,,,40
25,Melia Hotels,"4,3",1.319,4.39,4.36,4.35,4.18,4.00,,,,,,75
26,Merlin Properties,"4,0",4.503,4.04,3.79,3.83,3.93,3.43,,,,,,65
27,Naturgy,"3,7",50,4.00,4.00,4.00,4.67,3.57,,,,,,47
28,Pharma Mar,"3,8",5,3.00,4.00,,,,,,,,,
29,Red Electrica,"4,6",10,5.00,4.50,,,,,,,,,
30,Repsol,"4,1",1.235,4.23,4.41,4.33,3.88,3.31,,,,,,69
31,Siemens Gamesa,"3,6",294,3.75,3.57,3.00,3.75,3.50,,,,,,64
32,Solaria,"3,5",13,,,,,,,,,,,
33,Telefonica,"4,1",528,3.80,4.40,4.67,5.00,4.00,,,,,,63
