,Name,Total board members,Number of women board members,% women board members,Total number of executive board members,Number of  women executive board members,% women over total executive board members,Total number of proprietary board members,Number of women proprietary board members,% women over total proprietary board members,Total number of independent board members,Number of women independent board members,% women over total independent board members,Total number of other external board members,Number of women other external board members,%  women over total other external board members,Number of key executives no members of the board,Number of women key executives no members of the board,% total women key executives no members of the board
0,Alantra,9,3,0.333333333333333,1,0,0,3,1,0.333333333333333,4,2,0.5,1,0,,4,1,0.25
1,AmRest,7,2,0.285714285714286,1,0,0,2,0,0,4,2,0.5,0,0,,8,0,0
2,Applus+,10,4,0.4,2,0,0,0,0,,7,4,0.571428571428571,1,0,0,19,4,0.210526315789474
3,Atresmedia,12,4,0.333333333333333,3,0,0,5,0,0,4,4,1,0,0,,10,1,0.1
4,Audax Renovables,6,2,0.333333333333333,2,0,0,2,2,1,2,0,0,0,0,,3,1,0.333333333333333
5,Cementos Molins,13,5,0.384615384615385,1,0,0,7,3,0.428571428571429,4,2,0.5,1,0,0,10,2,0.2
6,Logista Holdings,12,5,0.416666666666667,2,1,0.5,5,2,0.4,5,2,0.4,0,0,,8,2,0.25
7,CAF,11,4,0.363636363636364,2,1,0.5,2,1,0.5,4,2,0.5,3,0,0,7,1,0.142857142857143
8,Acciona Energy,11,5,0.454545454545455,1,0,0,4,2,0.5,6,3,0.5,0,0,,21,5,0.238095238095238
9,Corporacion Financiera Alba,10,4,0.4,0,0,,3,0,0,6,4,0.666666666666667,1,0,0,6,0,0
10,Dia,8,2,0.25,1,0,0,1,0,0,5,2,0.4,1,0,0,12,2,0.166666666666667
11,Ebro Foods,14,6,0.428571428571429,2,0,0,8,4,0.5,4,2,0.5,0,0,,10,4,0.4
12,Elecnor,15,2,0.133333333333333,1,0,0,10,0,0,3,2,0.666666666666667,1,0,0,10,1,0.1
13,Ence Energia Y Celulosa,13,5,0.384615384615385,1,0,0,5,0,0,5,5,1,2,0,0,8,2,0.25
14,Faes Farma,8,3,0.375,1,0,0,4,1,0.25,3,2,0.666666666666667,0,0,,4,1,0.25
15,Fomento De Construcciones Y Contratas,14,4,0.285714285714286,2,0,0,9,4,0.444444444444444,3,0,0,0,0,,4,0,0
16,Gestamp Automocion,13,4,0.307692307692308,2,0,0,3,1,0.333333333333333,7,3,0.428571428571429,1,0,0,10,1,0.1
17,Dominion Global,10,2,0.2,2,0,0,2,0,0,5,2,0.4,1,0,0,8,2,0.25
18,Grenergy Renovables,8,4,0.5,2,0,0,2,1,0.5,4,3,0.75,0,0,,7,3,0.428571428571429
19,Grupo Catalana Occidente,16,1,0.0625,4,0,0,10,1,0.1,2,0,0,0,0,,7,0,0
20,Linea Directa,7,3,0.428571428571429,1,0,0,2,0,0,4,3,0.75,0,0,,13,4,0.307692307692308
21,Mediaset España,12,3,0.25,3,0,0,5,1,0.2,3,2,0.666666666666667,1,0,0,18,3,0.166666666666667
22,Metrovacesa,12,3,0.25,1,0,0,6,1,0.166666666666667,4,2,0.5,1,0,0,11,5,0.454545454545455
23,Miquel Y Costas,10,2,0.2,3,0,0,2,1,0.5,3,1,0.333333333333333,2,0,0,9,3,0.333333333333333
24,Neinor Homes,9,1,0.111111111111111,2,0,0,2,0,0,5,1,0.2,0,0,,7,0,0
25,Nh Hotel Group,9,0,0,2,0,0,4,0,0,3,0,0,0,0,,6,1,0.166666666666667
26,OHLA,10,2,0.2,1,0,0,4,0,0,5,2,0.4,0,0,,10,0,0
27,Prosegur Cash,9,3,0.333333333333333,2,0,0,3,1,0.333333333333333,4,2,0.5,0,0,,11,2,0.181818181818182
28,Prosegur,9,2,0.222222222222222,1,0,0,2,2,1,3,0,0,3,0,0,7,1,0.142857142857143
29,Realia,6,3,0.5,1,0,0,3,2,0.666666666666667,2,1,0.5,0,0,,4,1,0.25
30,Sacyr,13,3,0.230769230769231,1,0,0,5,0,0,6,3,0.5,1,0,0,12,2,0.166666666666667
31,Soltec Power Holdings,7,3,0.428571428571429,1,0,0,3,1,0.333333333333333,3,2,0.666666666666667,0,0,,8,3,0.375
32,Talgo,15,1,0.0666666666666667,2,0,0,3,0,0,7,1,0.142857142857143,3,0,0,13,4,0.307692307692308
33,Unicaja Banco,15,5,0.333333333333333,2,0,0,7,2,0.285714285714286,6,3,0.5,0,0,,18,3,0.166666666666667
34,Urbas Grupo Financiero,9,0,0,2,0,0,2,0,0,5,0,0,0,0,,7,2,0.285714285714286
35,Vidrala,11,3,0.272727272727273,0,0,,5,1,0.2,3,1,0.333333333333333,3,1,0.333333333333333,12,0,0
36,Viscofan,11,3,0.272727272727273,2,0,0,2,0,0,5,2,0.4,2,1,0.5,22,2,0.0909090909090909
