,Name,Total board members,Number of women board members,% women board members,Total number of executive board members,Number of  women executive board members,% women over total executive board members,Total number of proprietary board members,Number of women proprietary board members,% women over total proprietary board members,Total number of independent board members,Number of women independent board members,% women over total independent board members,Total number of other external board members,Number of women other external board members,%  women over total other external board members,Number of key executives no members of the board,Number of women key executives no members of the board,% total women key executives no members of the board
3,Alantra partners,9,3,0.333333333333333,1,0,0,3,1,0.333333333333333,4,2,0.5,1,0,,4,1,0.25
4,Amrest holdings,7,2,0.285714285714286,1,0,0,2,0,0,4,2,0.5,0,0,,8,0,0
5,Applus services,10,4,0.4,2,0,0,0,0,,7,4,0.571428571428571,1,0,0,19,4,0.210526315789474
6,Atresmedia corporacion de medios de comunicacion,12,4,0.333333333333333,3,0,0,5,0,0,4,4,1,0,0,,10,1,0.1
7,Audax renovables,6,2,0.333333333333333,2,0,0,2,2,1,2,0,0,0,0,,3,1,0.333333333333333
8,Cementos molins,13,5,0.384615384615385,1,0,0,7,3,0.428571428571429,4,2,0.5,1,0,0,10,2,0.2
9,Compañia de distribucion integral logista holdings,12,5,0.416666666666667,2,1,0.5,5,2,0.4,5,2,0.4,0,0,,8,2,0.25
10,Construcciones y auxiliar de ferrocarriles,11,4,0.363636363636364,2,1,0.5,2,1,0.5,4,2,0.5,3,0,0,7,1,0.142857142857143
11,Corporacion acciona energias renovables,11,5,0.454545454545455,1,0,0,4,2,0.5,6,3,0.5,0,0,,21,5,0.238095238095238
12,Corporacion financiera alba,10,4,0.4,0,0,,3,0,0,6,4,0.666666666666667,1,0,0,6,0,0
13,Distribuidora internacional de alimentacion,8,2,0.25,1,0,0,1,0,0,5,2,0.4,1,0,0,12,2,0.166666666666667
14,Ebro foods,14,6,0.428571428571429,2,0,0,8,4,0.5,4,2,0.5,0,0,,10,4,0.4
15,Elecnor,15,2,0.133333333333333,1,0,0,10,0,0,3,2,0.666666666666667,1,0,0,10,1,0.1
16,Ence energia y celulosa,13,5,0.384615384615385,1,0,0,5,0,0,5,5,1,2,0,0,8,2,0.25
17,Faes farma,8,3,0.375,1,0,0,4,1,0.25,3,2,0.666666666666667,0,0,,4,1,0.25
18,Fomento de construcciones y contratas,14,4,0.285714285714286,2,0,0,9,4,0.444444444444444,3,0,0,0,0,,4,0,0
19,Gestamp automocion,13,4,0.307692307692308,2,0,0,3,1,0.333333333333333,7,3,0.428571428571429,1,0,0,10,1,0.1
20,Global dominion access,10,2,0.2,2,0,0,2,0,0,5,2,0.4,1,0,0,8,2,0.25
21,Grenergy renovables,8,4,0.5,2,0,0,2,1,0.5,4,3,0.75,0,0,,7,3,0.428571428571429
22,Grupo catalana occidente,16,1,0.0625,4,0,0,10,1,0.1,2,0,0,0,0,,7,0,0
23,Linea directa aseguradora,7,3,0.428571428571429,1,0,0,2,0,0,4,3,0.75,0,0,,13,4,0.307692307692308
24,Mediaset españa comunicacion,12,3,0.25,3,0,0,5,1,0.2,3,2,0.666666666666667,1,0,0,18,3,0.166666666666667
25,Metrovacesa,12,3,0.25,1,0,0,6,1,0.166666666666667,4,2,0.5,1,0,0,11,5,0.454545454545455
26,Miquel y costas & miquel,10,2,0.2,3,0,0,2,1,0.5,3,1,0.333333333333333,2,0,0,9,3,0.333333333333333
27,Neinor homes,9,1,0.111111111111111,2,0,0,2,0,0,5,1,0.2,0,0,,7,0,0
28,Nh hotel group,9,0,0,2,0,0,4,0,0,3,0,0,0,0,,6,1,0.166666666666667
29,Obrascon huarte lain,10,2,0.2,1,0,0,4,0,0,5,2,0.4,0,0,,10,0,0
30,Prosegur cash,9,3,0.333333333333333,2,0,0,3,1,0.333333333333333,4,2,0.5,0,0,,11,2,0.181818181818182
31,Prosegur,9,2,0.222222222222222,1,0,0,2,2,1,3,0,0,3,0,0,7,1,0.142857142857143
32,Realia business,6,3,0.5,1,0,0,3,2,0.666666666666667,2,1,0.5,0,0,,4,1,0.25
33,Sacyr,13,3,0.230769230769231,1,0,0,5,0,0,6,3,0.5,1,0,0,12,2,0.166666666666667
34,Soltec power holdings,7,3,0.428571428571429,1,0,0,3,1,0.333333333333333,3,2,0.666666666666667,0,0,,8,3,0.375
35,Talgo,15,1,0.0666666666666667,2,0,0,3,0,0,7,1,0.142857142857143,3,0,0,13,4,0.307692307692308
36,Unicaja banco,15,5,0.333333333333333,2,0,0,7,2,0.285714285714286,6,3,0.5,0,0,,18,3,0.166666666666667
37,Urbas grupo financiero,9,0,0,2,0,0,2,0,0,5,0,0,0,0,,7,2,0.285714285714286
38,Vidrala,11,3,0.272727272727273,0,0,,5,1,0.2,3,1,0.333333333333333,3,1,0.333333333333333,12,0,0
39,Viscofan,11,3,0.272727272727273,2,0,0,2,0,0,5,2,0.4,2,1,0.5,22,2,0.0909090909090909
