,Company,rating,ratings number,conciliacion,compensacion/beneficios,estabilidad y desarrollo,gestion,cultura laboral,salary satisfaction
0,Adolfo Dominguez,"4,0",93,"3,7","3,6","3,4","3,5","3,7",74
1,Airtificial,"4,5",2,"5,0",,"4,5",,"4,5",
2,Amper,"3,5",11,"3,7","3,3",,,"3,4",
3,Arima Real Estate,"3,8",4,"4,0",,"3,7","4,0","4,0",
4,Azkoyen,"4,4",14,"4,5","4,5","3,9","4,2","4,5",
5,Bodegas Riojanas,"2,0",2,"2,0","2,0",,,,
6,Clinica Baviera,"3,9",10,"4,1",,"3,7","4,2","4,2",57
7,Codere,"4,2",451,"3,8","4,2","3,9","3,8","3,9",56
8,Cevasa,"4,3",15,"3,9",,"3,9","4,1","4,1",
9,Cleo,"3,9",1.648,"3,8","3,5","3,3","3,6","3,6",65
10,Deoleo,"3,3",4,"3,8","3,3","2,0","3,5","2,5",
11,DESA,"4,0",31,"3,8","3,5",,,"3,8",
12,Duro Felguera,"4,3",35,"3,7","4,0","3,7","3,8","4,0",86
13,Ecolumber,"3,1",22,"3,2","3,3","2,7","2,8","3,0",84
14,Ercros,"4,8",11,"4,7","4,4","4,4","4,4","4,7",92
15,GAM,"4,0",46,,,,"3,5","3,4",
16,Grupo Ecoener,"3,9",46,"3,9",,"3,4","3,8","3,8",
17,Grupo San Jose,"3,8",34,"3,4","3,4","3,3","3,6","3,5",58
18,Grupo Ezentis,"3,7",281,"3,5","3,4","3,1","3,2","3,2",50
19,Iberpapel,"4,0",3,"3,5","4,5",,,"3,5",
20,Inmobiliaria Del Sur,"3,8",4,"3,7",,"2,7",,"3,3",
21,Laboratorio Reig Jofre,"3,5",4,,,,"2,5","3,0",
22,Lar España,"4,4",8,"4,4","4,6",,"4,3","4,0",
23,Libertas 7,"2,9",80,,,,,"3,0",
24,Lingotes Especiales,"4,2",17,"3,8","3,9","2,8","3,4","3,6",75
25,Liwe Española,"3,7",18,"3,7","3,4","3,4","3,5","3,6",52
26,Minersa,"4,8",4,"4,8","4,5","4,3","4,5","4,5",
27,Montebalito,"2,5",4,"3,0","2,7",,,"1,3",53
28,Naturhouse Health,"3,6",169,"3,5","3,2","2,7","3,1","3,3",66
29,Nicolas Correa,"4,0",6,"4,2",,"3,3","3,7","3,8",
30,Nextil,"4,2",1.324,"3,9","4,0",,"3,7","3,9",
31,Oryzon Genomics,"3,5",4,"3,5",,,"3,5","3,0",
32,Pescanova,"4,2",37,"4,1","3,8","3,7","3,9","4,0",71
33,Prim,"3,7",14,"3,6","3,3","3,1","3,3","3,4",
34,Grupo Prisa,"3,9",27,"3,8","3,6","3,4","3,6","3,9",
35,Renta 4 Banco,"4,9",7,"4,6","3,2","3,8","4,4","3,6",
36,Renta Corporacion,"3,5",4,"3,0","3,3",,,"3,7",
37,Saint Croix Holding Immobilier,"3,3",237,"3,2","3,1","3,0","2,9","3,0",
38,Squirrel Media,,4,,,,,,
39,Tecnicas Reunidas,"4,1",128,"3,8","3,9","3,5","3,8","3,9",68
40,Tr Hotel Jardin Del Mar,"3,4",5,"3,6","3,6",,"3,6","3,4",
41,Tubacex,"4,3",9,"4,2","4,2","3,4","3,6","3,7",89
42,Tubos Reunidos,"4,5",2,"3,5","5,0","4,0",,"4,0",
43,Uncavasa,"2,7",17,"2,7","3,0","2,6","2,6","2,6",32
44,Urbar Ingenieros,"4,1",228,"3,9","3,7","3,7","3,7","4,0",
45,Vocento,"3,9",14,"3,1","3,3","3,0","3,5","3,4",
