ref_area.label,indicator.label,source.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Aruba,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2007,40.3,,,,Data reference period: October
Aruba,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2011,42.8,,,,
Aruba,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),PC - Population and Housing Census,2000,35.9,,,,Data reference period: October
Aruba,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),PC - Population and Housing Census,2010,41,,,,Data reference period: September | Age coverage - minimum age: 14 years old
Afghanistan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Living Conditions Survey,2014,6.4,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Living Conditions Survey,2017,4.1,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020,4.9,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2021,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Angola,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Questionnaire sur les Indicateurs de Base du Bien-être,2004,29.5,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Angola,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Questionnaire sur les Indicateurs de Base du Bien-être,2009,14.8,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Questionnaire sur les Indicateurs de Base du Bien-être,2011,31.9,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Inquérito ao Emprego,2010,29.8,,,,
Angola,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),PC - Recensements de Population,2014,19.7,,,,Repository: ILO-STATISTICS - Micro data processing
Anguilla,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),PC - Population Census,2001,52,,,,Data reference period: May | Population coverage: Excluding armed forces and/or conscripts
Albania,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2007,20.5,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2008,23.7,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2009,22.5,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2010,19.1,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2012,16.1,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2013,31.9,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2014,18.7,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2015,19.8,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2016,24.1,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017,22.6,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018,29.3,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019,34.1,,,,Repository: ILO-STATISTICS - Micro data processing
Netherlands Antilles,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2000,31,,,,Data reference period: October | Geographical coverage: Main city or metropolitan area
Netherlands Antilles,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2001,31.3,,,,Data reference period: October | Geographical coverage: Main city or metropolitan area
Netherlands Antilles,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2002,31.3,,,,Data reference period: October | Geographical coverage: Main city or metropolitan area
Netherlands Antilles,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2003,32.9,,,,Data reference period: October | Geographical coverage: Main city or metropolitan area
Netherlands Antilles,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2004,32.2,,,,Data reference period: October | Geographical coverage: Main city or metropolitan area
Netherlands Antilles,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2005,33,,,,Data reference period: October | Geographical coverage: Main city or metropolitan area
Netherlands Antilles,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2006,33.4,,,,Data reference period: October | Geographical coverage: Main city or metropolitan area
Netherlands Antilles,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2007,34.2,,,,Data reference period: October | Geographical coverage: Main city or metropolitan area
United Arab Emirates,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2008,9.9,,,,Data reference period: February
United Arab Emirates,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2016,14.6,,,,Age coverage - maximum age: 65 years old
United Arab Emirates,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017,12.5,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018,15.8,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019,21.5,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020,17.7,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),PC - Population Census,2005,10.2,,,,Data reference period: December
United Arab Emirates,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),OE - Official Estimates,2000,7.8,,,,
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2000,27.4,,,,Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old
