ref_area.label,indicator.label,source.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Afghanistan,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),HIES - Living Conditions Survey,2014,6.9,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),HIES - Living Conditions Survey,2017,4.3,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2020,5.9,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2021,,Unreliable,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Angola,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),HIES - Questionnaire sur les Indicateurs de Base du Bien-être,2009,14.8,,,Repository: ILO-STATISTICS - Micro data processing
Angola,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),PC - Recensements de Population,2014,18.2,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2007,22.8,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2008,24.4,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2009,22,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2012,14.7,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2013,29.3,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2014,20.6,,,Repository: ILO-STATISTICS - Micro data processing
